question;reponse;thematiques
Vendre Retours et annulations Est-il possible d’annuler ma transaction ?;Est-il possible d’annuler ma transaction ?;Vendre Retours et annulations
Vendre Retours et annulations Politique de remboursement de Vinted;"Politique de remboursement de Vinted
Quand est ce que Vinted peut procéder à mon remboursement ?
Lorsque tu payes un article via le bouton Acheter, ton achat est couvert par notreProtection Acheteur .
Grâce à la Protection Acheteur, tu peux recevoir un remboursement, si la commande :
N’est significativement pas conforme à la description du vendeur, ou bienN’a pas été livrée, ou bienA été abimée durant la livraison, ou bienA été annulée par Vinted, ou bienA été annulée manuellement par toi ou le vendeur
Si l’article que tu as commandé ne te plait pas ou ne te va simplement pas, malheureusement, il n’est pas possible de demander un remboursement à Vinted. Dans ce type de situation, tu peux essayer de discuter avec le vendeur concernant un éventuel retour à l’amiable. Tu peux également remettre l’article en question en vente dans ton dressing sur Vinted.
Combien de temps ai-je pour demander un remboursement ?
Si tu annules la transaction, ou bien si celle-ci a été annulée par le vendeur ou par Vinted, tu seras remboursé automatiquement.
Dans d’autres cas, pour demander un remboursement, il te faudra cliquer sur le bouton « J’ai un problème », en respectant les conditions suivantes :
Dans un délai de 2 jours suivant la livraison de l’article, si celui-ci n’est significativement pas conforme à la description du vendeur, ou bien endommagéDans un délai de 2 jours suivant la date de livraison prévue si ton article n’est pas arrivé
Si tu considères que l’article reçu n’est significativement pas conforme à sa description et que tu cliques sur le bouton « J’ai un problème » dans les 2 jours suivant la livraison, nous bloquerons le paiement le temps que tu contactes le vendeur. Explique lui alors simplement le problème rencontré avec l’article, et il est fort probable que vous parviendrez à trouver une solution à l’amiable.
Si vous vous accordez sur le fait que tu (l’acheteur) gardes l’article, clique sur le boutonRésoudre le litige dans ta conversation avec le vendeur, et le paiement lui sera transmis.
Au contraire, si vous ne parvenez pas à trouver une solution entre vous, contacte-nous afin que nous puissions trancher, et décider de l’issue de la situation.
A noter : Si tu ne respectes pas les délais mentionnés ci-dessus, ou si tu cliques sur « Tout est OK » dans les 2 jours suivant la livraison de l’article, ton achat sera finalisé, et le paiement sera automatiquement transmis au vendeur.
Frais de retour
Les frais de retour sont toujours à la charge de l’acheteur, à moins d’un arrangement à l’amiable avec le vendeur.
Retourner l’article
Si tu contactes le vendeur et que vous trouvez un accord entre vous concernant ton remboursement, vous pouvez également déterminer une date pour le retour de l’article. Dés que tu auras transmis le numéro de suivi du colis au vendeur, celui-ci pourra annuler la transaction et te transmettre le remboursement.
Si vous n’êtes pas parvenus à un arrangement concernant le retour, et qu’après avoir examiné le litige, nous confirmons que tu es éligible à un remboursement, tu auras 5 jours pour retourner l’article à l’adresse fournie par le vendeur, via un envoi avec numéro de suivi. Habituellement, nous déclenchons le remboursement lorsque l’acheteur nous transmet le numéro de suivi valide pour le retour de l’article au vendeur.
Important : Si tu ne renvoies pas l’article dans ce délai de 5 jours, la transaction sera validée, et le paiement sera transmis au vendeur.
Quand vais-je recevoir mon remboursement ?
Les délais de remboursement sont les suivants :
Si tu as payé par carte bancaire, tu recevras ton remboursement sous 4 jours ouvrés.Si tu as payé avec le contenu de ton Porte-Monnaie Vinted, tu recevras ton remboursement sous quelques heures.Si tu as payé une partie de ton achat avec ton Porte-Monnaie, et l’autre partie par carte bancaire, la partie correspondante de ton remboursement apparaîtra sur ton Porte-Monnaie sous quelques heures, et l’autre partie sur ton compte bancaire, sous 4 jours ouvrés.
A noter : Selon les banques, ton remboursement peut mettre jusqu’à 15 jours pour apparaître sur ton compte bancaire.";Vendre Retours et annulations
Vendre Mes articles Mettre un article dans mes favoris;"Mettre un article dans mes favoris
Quand tu tombes sur l'article de tes rêves mais que tu n'es pas tout à fait prêt à cliquer surAcheter, tu peux le mettre dans tes favoris pour le retrouver plus tard !
Pour mettre enfavori un article, il te suffit de cliquer sur l’icône en forme de cœur directement sous la photo de l’article qui t’intéresse depuis le fil d'actualité. Tu peux également te rendre sur la page de l’article en question puis cliquer sur le boutonAjouter aux favoris situé à droite (sur ordinateur) ou en bas à gauche (sur appli).
 
Pour retrouver tes articles favoris, clique surl'icône cœur en haut à gauche de ton avatar.
Pour retirer un article de tes favoris, il te suffit de cliquer sur l'icône cœur de l'article qui ne t'intéresse plus : il aura disparu de tes favoris la prochaine fois que tu retourneras sur cette page.
Que se passe-t-il si quelqu'un ajoute l'un de tes articles à ses favoris ? Si un autre membre mets ton article dans ses favoris, tu recevras une notification. En cliquant sur la notification, tu pourras entrer en contact avec le membre qui a aimé ton article. Tu peux le contacter et lui donner plus de précisions sur l'article ou lui proposer un rabais en lui suggérant d'utiliser le boutonFaire une offre. Tu n'es pas obligé de rentrer en contact avec ce membre; tu peux également attendre qu'il te contacte !";Vendre Mes articles
Vendre Mes articles Comment indiquer que mon article est réservé ?;"Comment indiquer que mon article est réservé ?
Si un membre souhaite t'acheter un article et te demande de le mettre de côté pendant quelques jours, tu as la possibilité d'indiquer que l'article lui est réservé.Le délai de chaque réservation est de 5 jours.Une fois indiqué comme réservé, ton article sera masqué du catalogue, du fil d'actu et de ton dressing. Seule le membre que tu auras sélectionné au moment de la réservation pourra le voir et l'acheter.Pour réserver un article :Rends-toi sur la page de ton article.Clique surIndiquer comme réservé et sélectionne l'acheteur concerné.Pour remettre l'article en ligne, clique surAnnuler la réservation.";Vendre Mes articles
Vendre Mes articles Quelle est la politique d'authenticité de Vinted ?;"Quelle est la politique d'authenticité de Vinted ?
Vinted a une politique de tolérance zéro en matière de contrefaçons, car cela enfreint nos Règles d’utilisation du site ainsi que les lois en vigueur concernant la propriété intellectuelle. Tous les articles de grandes marques doivent comporter une preuve d'authenticité dans l'annonce. Si ce n'est pas le cas, ces articles peuvent être masqués. Nous sommes également en mesure de demander une preuve d'authenticité, surtout dans le cas de marques particulièrement exposées au marché de la contrefaçon.
Les articles que nous soupçonnerons d'être des produits de contrefaçon seront masqués, et nous demanderons des preuves de leur authenticité. Tu peux les fournir en ajoutant ces preuves* d’authenticité dans ton annonce.Les articles qui se révèlent être des imitations de produits authentiques seront définitivement supprimés même si le vendeur n'était pas conscient qu'il s'agissait de produits contrefaits.La mise en vente intentionnelle de contrefaçons est strictement interdite. Les annonces en questions seront supprimées et les vendeurs bloqués, sans avertissement préalable.Les membres enfreignant de manière répétée et intentionnelle la politique d’authenticité de Vinted seront définitivement bloqués sans possibilité de déblocage, ni de création d'un nouveau profil sur Vinted.
Nous considérons comme preuves d'authenticité recevables les éléments suivants :
L'étiquette de l’article faisant apparaître, entre autres, le logo de la marqueLes motifs ou coutures typiques de la marqueLe numéro de série identifiant l’articleL'emballage d’origineLa facture d’achatLe certificat d’authenticité de l’article (si ton article est un article de luxe)Tout autre élément pertinent permettant d’établir l’authenticité de ton article et prouvant que sa mise en ligne n’enfreint pas nos Termes et conditions, ni les droits de propriété d’un tiers.
Bon à savoir :
Si tu remarques un article qui ne semble pas être authentique, n’hésite pas à lesignaler à notre équipe .Seule la marque à laquelle appartient effectivement ton produit peut être indiquée dans ton annonce, toute mention d'une autre marque s'apparente à une violation de la propriété intellectuelle, et nous nous réservons le droit de supprimer ainsi toute annonce faisant mention d'une autre marque que celle de l'article.Vérifie toujours que l’article que tu mets en vente n’est pas un produit contrefait.";Vendre Mes articles
Vendre Mes articles Comment masquer mes articles ?;"Comment masquer mes articles ?
Pour masquer/supprimer un article :Rends-toi surMes articlesClique sur l'article que tu souhaites masquer/supprimerClique surMasquer ouSupprimerSi tu as masqué ton article, il ne sera pas visible dans le fil d'actu, le catalogue et ton dressing.Pour masquer tous tes articles : active lemode v acances .Bon à savoir :Si un article reste masqué pendant plus de 90 jours, il sera automatiquement supprimé du catalogue.Si tu restes inactif pendant un moment, tous tes articles seront masqués via le mode indisponible qui sera automatiquement activé sur ton catalogue. Tu peux facilement démasquer tes articles en te rendant dans tes paramètres.";Vendre Mes articles
Vendre Mes articles Qu'est-ce que je peux vendre sur Vinted ?;"Qu'est-ce que je peux vendre sur Vinted ?
Voici les articles que tu peux vendre sur Vinted :
Vêtements pour femme, homme et enfant, des chaussures et accessoiresJouets pour enfants, meubles et articles de puéricultureProduits cosmétiques, parfums et produits de beauté neufsAccessoires de beautéAccessoires technologiques tels que les casques audio, écouteurs, montres connectées, étuis pour téléphones et autres articles similairesObjets pour la maison, tels que les bougies, encadrements, coussins décoratifs, textile de table, plaidsLivres pour adultes, enfants et adolescents
Ce que je ne peux pas vendre sur Vinted
Les articles suivants ne peuvent pas être vendus sur Vinted :
1. Les articles interdits ou limités par la loi :
Articles contrefaits, ou imitations d'articles de marqueÉchantillons, testeurs ou articles promotionnels reçus gratuitement, y compris les articles provenant de « Boîtes à Beauté »Médicaments, vitamines, compléments alimentairesNourriture et boissonsDrogues, produits de tabac tels que cigarettes, cigares, pipes, cigarettes électroniques, vapes, ou autres instruments et accessoires de vaporisationUniformes ou accessoires fascistes ou nazis
2. Les articles qui ne sont pas conformes aux normes d’hygiène ou qui présentent un risque pour ta santé ou ta sécurité :
Les sous-vêtements et la lingerie déjà portés, incluant les slips, les strings, les tangas, les boxers, les caleçons, les culottes, les bodies portés comme lingerie, et les ensembles de lingerie comportant un bas. Cependant, ces articles sont autorisés à la vente, s’ils sont neufs avec étiquettes. Il est alors important de montrer clairement les étiquettes du fabricant encore accrochées à ces articles sur les photos. Les soutiens-gorge, collants et maillots de bain déjà portés peuvent être vendus, à condition qu’ils soient lavés correctement avant l’envoi, et que leur état soit clairement spécifié dans l’annonceTous les produits cosmétiques, les parfums (y compris les produits de maquillage, les crèmes, les lotions, les produits capillaires) déjà utilisés ou qui ne sont pas dans leur emballage d'origine scellé. Cette restriction s’applique peu importe que le produit ait été ou non en contact direct avec le corps humain. Les produits cosmétiques même brièvement essayés sur la peau sont également considérés comme utilisésEponges, pinceaux de maquillage ou applicateurs utilisés en contact direct avec le corps humainProduits de beauté faits maisonServiettes de toilettes, toilettes, housses de couette, draps, taies d’oreiller et parures de lit déjà utilisésLentilles de contact (y compris les produits d'entretien et les étuis de lentilles de contact)Dissolvants à onglesRasoirsProduits de coloration capillaireProduits d'hygiènes feminine tels que tampons, coupes menstruelles et articles similairesPiercings de langue, sourcils, nez, lèvre déjà utilisés
3. Les articles qui ne sont pas des vêtements, qui n’ont rien à voir avec la mode, la beauté, les accessoires, les enfants, la décoration, ou qui ne correspondent tout simplement pas à la vision de Vinted :
La fourrure animale et ses produits dérivés, les articles comportant de la peau de reptile, de la carapace, ou de l’ivoire. À noter : la laine de mouton est autoriséeLes objets high-techet l’électroménagertels que les téléphones, les ordinateurs, les appareils photo, les batteries portables, les câbles, les chargeurs, leslave-linge, lave-vaisselle, fers à repasser, aspirateurs, etc. Sont autorisés les appareils de beauté et de coiffure, ainsi que les accessoires électroniques comme les casques, les montres connectées, les housses et coques pour téléphones, et objets similairesÉquipements de sport pour adultes tels que vélos, skis, snowboards,tapis de yoga, poids et articles similairesMeubles autres que pour enfants, outils de jardinage tels que les tondeuses à gazon, décoration de jardin tels que les pots de fleurs, etcMatelas et oreillers. A noter: Les coussins décoratifs sont autorisésBoîtes de conservation, ustensiles et appareils de cuisine, couteaux de cuisine, poêles, casseroles, cafetières et autres appareils de cuisineJournaux et articles de papeterie pour adultes, tels que les carnets de notes et journaux intimesCatalogues de vente et produits commandés sur demande, services professionnels ou toute autre publicité favorisant les activités commercialesPochettes de protection vides, boîtes en carton, boîtes cadeau, sacs d’emballage de magasins et boutiques, cartons de déménagementBoîtes ou lots de surprisesTableaux, dessins, photos, et autres œuvres d’art protégées par des droits d’auteursCalendriers de l’AventArticles à connotation sexuelle comme les jouets sexuels et les articles liés au fétichismeAnimaux, accessoires et vêtements pour animauxLes places de spectacle, cartes-cadeaux et bons de réduction
Tous les articles mentionnés ci-dessus, ainsi que les articles similaires qui ne sont pas inclus dans nos catégories agréées, seront supprimés ou cachés du catalogue par notre équipe. Pour plus d’informations, consulte lesRègles de notre Catalogue.
Il est important de noter que si tu utilises une fonction payante sur un article ou un dressing qui enfreint nos règles, tu ne seras pas remboursé du coût de la fonction lorsque ton article ou ton dressing seront supprimés ou cachés. Le terme « fonction payante » comprend les « Boosts » et les « Dressing en Vitrine ».";Vendre Mes articles
Vendre Mes articles Pourquoi mon article a-t-il été masqué ou supprimé ?;"Pourquoi mon article a-t-il été masqué ou supprimé ?
Chez Vinted, nous prenons la qualité des contenus très au sérieux. Les annonces qui ne respectent pas lesrègles du catalogue seront masquées ou supprimées.
L'annonce sera masquée si :  : Elle ne comporte pas de preuve d’authenticité de l’article
------
L'annonce sera masquée si :  : Plusieurs marques sont citées dans la même annonce
------
L'annonce sera masquée si :  : Le prix, la taille, les hashtags ou l'état de l'article sont trompeurs
------
L'annonce sera masquée si :  : La description fait la publicité d'une autre plateforme
------
L'annonce sera masquée si :  : L'article est listé dans la mauvaise catégorie
------
L'annonce sera masquée si :  : Il y a des filigranes sur la photo de l'article
------
L'annonce sera masquée si :  : L'article est vendu à des fins commerciales
------
L'annonce sera supprimée si :  : L'article est une imitation ou une contrefaçon
------
L'annonce sera supprimée si :  : Les photos proviennent d'un autre site internet, d'une banque d'images
------
L'annonce sera supprimée si :  : L’article est composé de fourrure animale, ou d’éléments comportant de la peau de reptile, de la carapace, ou de l’ivoire
------
L'annonce sera supprimée si :  : L'article n'est pas autorisé à la vente sur Vinted
------
L'annonce sera supprimée si :  : L'article est un produit cosmétique ou un parfum déjà utilisé / essayé ou qui n’est pas dans son emballage d'origine fermé. Cette restriction s’applique aux produits de maquillage, aux parfums, aux crèmes, aux lotions, et aux produits capillaires
------
L'annonce sera supprimée si :  : L'annonce de l'article comporte une mise aux enchères ou une recherche d’article
------
Bon à savoir :
Quand un de tes articles sera masqué ou supprimé, nous t’informerons de la raison.Si ton article est masqué, tu peux mettre à jour ton annonce et ladémasquer .Si tu enfreins à plusieurs reprisesles règles du catalogue , ton compte sera bloqué.Si tu ne respectes pasles règles d’authenticité de Vinted à plusieurs reprises, ton compte sera bloqué de manière permanente.Vérifie ce que tu peux vendre sur Vintedici .";Vendre Mes articles
Vendre Mes articles Pourquoi mon article a-t-il peu de visites ?;"Pourquoi mon article a-t-il peu de visites ?
ll se peut que les photos de ton article posent problème. Il n'apparaît alors pas dans le fil d’actualités et n’attire pas l’attention des membres depuis les pages de notre catalogue. Il est cependant bien en ligne et disponible à l’achat sur Vinted, mais nous te suggérons d’améliorer ton annonce pour augmenter sa visibilité. Pour vendre plus vite, consultenos conseils photos.
Tu reçois un avertissementsi tes photos ne mettent pas en valeur ton article ou ne respectent pas les règles de notre catalogue :
Une seule partie de ton article est visibleLe fond de la photo n’est pas net, l'arrière-plan est trop chargéLa photo est trop sombre, pas lumineuseL’article est mal présenté : jeté sur le sol, plissé, etc.Tu as utilisé des filtres qui ont changé les couleurs naturelles de ton articleTu as utilisé un montage de plusieurs photos en photo principale de ton annonce (et non une seule photo)Tu as utilisé une photo provenant d'internet";Vendre Mes articles
Acheter Processus d'achat Conseils pour tes achats;"Conseils pour tes achats
Vérifie bien les évaluations d'un membre avant de procéder à un achat - si celui-ci a beaucoupd’évaluations positives, tout devrait bien se passer !N’hésite pas àposer un maximum de questions sur l’article qui t’intéresse. Tu peux également demander plus de photos si tu le souhaites ! Nos membres sont toujours prêts à te donner le plus d’informations possibles afin de t’aider lors de ton achat.Assure-toi queton adresse de livraison est correcte et à jour sur ton compte Vinted . C’est à cette adresse que le vendeur expédiera ton colis.Le délai de réponse moyen et la dernière date de connexion d’un membre te renseignent sur sa réactivité. Ces informations sont visibles sur le profil du vendeur.Nous déconseillons de procéder à un paiement en dehors de notre système d’envois et de paiements sécurisés. Pour payer sur Vinted, il suffit de cliquer sur  le boutonAcheter - tu bénéficieras alors de la Protection Vinted et tu seras éligible à un remboursement de notre part en cas de problème.  Nous n’effectuons pas de remboursements sur les transactions réalisées en dehors de Vinted.";Acheter Processus d'achat
Acheter Processus d'achat Acheter sur Vinted : toutes les étapes;"Acheter sur Vinted : toutes les étapes
Trouve un article qui te plaît
L'icône en forme de cœur te permet de sauvegarder les articles que tu aimes dans tes favoris.Suis tes marques et tes membres préférés, ainsi leurs articles apparaîtront dans ton fil d'actualité. Pour accéder au fil d'actualité ou à l'onglet tendance sur appli, clique simplement sur l'icône en forme de boussole situé sur l'extrémité gauche du menu de navigation.Tu peux filtrer les articles par taille.Utilise les autres filtres de notre catalogue pour trier les articles par marque/couleur/prix, etc.Cliquer surTrier pour organiser les résultats de ta recherche par nouveauté, prix croissant, prix décroissant et cohérence avec l'article recherché.
Contacte le vendeur
Clique surEnvoyer un message.Dans la fenêtre qui s'ouvre, tu peux :Discuter avec le membre.Proposer un autre prix via le boutonFaire une offre.Procéder à l'achat immédiat de l'article.Demander plus d'informations au sujet de l'article.
Achète l'article
Clique surAcheter et procède au paiement de l'article.Lors de ton premier achat, tu devrasentrer les données de ta carte bancaire .Tu peux régler ton achat par carte bancaire via iDEAL ou ton compte PayPal (dans le cas d’un envoi en suivi uniquement).Le prix à payer comprend les frais de livraison et les frais de protection acheteurs  de 5% + 0.70 € qui s’appliquent pour tous paiements effectués sur Vinted.Vérifie ton adresse de livraison.Les frais de port varient de 2,80€ à 8,50€ et dépendent du poids du colis et du mode d'envoi que tu choisis.Tu peux ajouter/modifier tes modes de paiement depuis la pageMes paramètres (web) ouParamètres (appli mobile).
Réceptionne ton article
Article acheté ! Tu n'as plus qu'à attendre de le recevoir.Le vendeur a 5 jours ouvrés pour expédier son colis via La Poste ou Mondial Relay (selon le mode de livraison que tu as choisi).Dès que le colis a été scanné par le système d'envoi, tu peux suivreson acheminement directement sur Vinted, depuis ta conversation avec le vendeur.Il faut généralement compter 2 à 5 jours ouvrés pour recevoir ton colis.Article livré ! Indique-nous que tu l'asBien reçu.
Quand le colis est indiqué comme livré sur Vinted,tu as deux possibilités :
Clique surTout est ok si l'article est conforme.Clique surJ'ai un problème pour suspendre la transaction et nous contacter. Ce bouton est accessible après avoir cliqué sur le boutonBien Reçu .
Sans action de ta part dans un délai de 2 jours, la transaction est automatiquement validée et une évaluation est laissée sur le profil du vendeur.
Il est important de maintenir un climat de confiance au sein de la communauté Vinted.
Infos utiles
Vinted terembourse intégralement (prix de l'article + frais de port initiaux) si l'article est arrivé endommagé ou est non conforme à sa description.Confirme ton adresse mail sur Vinted, ainsi tu recevras bien tous les mails concernant tes commandes.Si tu possèdes un bon d'achat en cours de validité, il est automatiquement pris en compte lors de ton achat.";Acheter Processus d'achat
Acheter Processus d'achat La protection acheteurs Vinted;"La protection acheteurs Vinted
Notre but est de t’assurer une expérience sécurisée pour tes achats sur Vinted. Afin d’y parvenir, nous appliquons des frais de Protection Acheteurs, qui correspondent à :
Un montant fixe de 0,70 €5% du prix de l’article (incluant la TVA, mais excluant les frais d’envoi, fixés entre toi et le vendeur)
Le montant total des ces frais est clairement visible avant la validation de ton achat, donc pas de surprise.
Pour plus d’infos plus sur les avantages apportés par la Protection Acheteurs, disponible lorsque tu payes via Vinted, rends-toi sur cette page :https://www.vinted.fr/help/550";Acheter Processus d'achat
Acheter Processus d'achat Comment échanger un article;"Comment échanger un article
Échanger des articles sur Vinted, c'est super simple ! Notre plateforme sécurisée te permet d'échanger tes articles avec ceux d'autres membres, en effectuant deux transactions d'une même valeur (les deux paiements s'annulent).
Pour sécuriser tes échanges, voici les étapes à suivre :
Contacte l'autre membre pour te mettre d'accord sur les articles que vous souhaitez échanger. Pour cela, clique surEnvoyer un message depuis l'un de ses articles.Cliquez ensuite sur le boutonFaire une offre et fixez le même prix pour vos articles respectifs. Cette somme sera votre garantie (votre  « swapsurance » !) en cas de problème.Le prix fixé doit être cohérent avec la valeur de l'article.Chacun·e de vous pourra ensuite cliquer surAcheter et payer le prix fixé.Cliquez surExpédier et procédez à l'envoi de vos articles.Dès que vous aurez reçu vos colis et cliqué surTout est ok, vous recevrez chacun·e la même somme (moinsla commission Vinted ).
À noter :
Si tu fixes le prix à 1€ pour des articles de valeur et qu'ils se perdent, le remboursement possible ne sera que de 1€.Vinted ne garantit pas la sécurité des échanges réalisés en dehors de sa plateforme sécurisée et ne pourra procéder à aucun remboursement dans ce cas.";Acheter Processus d'achat
Acheter Trouver un article Comment personnaliser Vinted ?;"Comment personnaliser Vinted ?
Tu peux personnaliser les contenus qui apparaissent dans ton fil d’actu et pré-sélectionner les tailles pour tes recherches dans le catalogue.Tu peux personnaliser le fil d'actu en sélectionnant :Les catégories du catalogue qui t'intéressent le plus. Il existe 3 principales catégories :Vêtements & accessoires pour femmesVêtements & accessoires pour hommesVêtements & accessoires pour enfantsLes tailles qui t'interessent dans chacune de ces catégoriesLes membres auxquels tu es abonnésLes marques que tu aimesToutes : tu verras apparaître toutes les marques présentes sur Vinted. Clique sur les 3 points à côté de la marque pour les suivre ou les masquer.Suivies : les marques que tu auras suivies apparaîtront dans ton fil d’actu.Masquées : ces marques n’apparaîtront jamais dans ton fil d’actu.Pour ajuster ces paramètres, clique surPersonnalisation dans le menu déroulant sous ta photo de profil.Bon à savoir :Si tu fais une recherche dans le catalogue sur une marque que tu as masquée, tu pourras encore voir apparaître les articles de cette marque.Tu peux retrouver les membres auxquels tu t'es abonnés sur ton profil.Tu verras les articles des membres que tu suis dans ton fil d’actu, s'ils correspondent aux tailles que tu as sélectionnées.";Acheter Trouver un article
Acheter Trouver un article Abonne-toi aux recherches;"Abonne-toi aux recherches
Tu peux t’abonner aux recherches et revenir plus tard pour vérifier s’il y a des nouvelles annonces qui correspondent à tes recherches.
S’abonner aux recherches
Rends-toi sur la barre de recherche où tu verras toutes les recherches que tu as effectuées récemment.Reste sur la recherche auquel tu souhaites t’abonner et appuie sur l'icône à côté de celle-ci.
Lors de ton prochaine visite dans la barre de recherche, tu verras un nombre avec un plus indiquant le nombre de nouveaux articles listés depuis la dernière recherche. Chaque fois que tu refais ta recherche, son compteur se réinitialise.
Se désabonner des recherches
Désactive simplement l'icône d’abonnement de la recherche abonnée.
Bon à savoir
Tu peux t’abonner jusqu'à 20 recherches. Chaque fois que tu t’abonne à plus de 20, celui qui a été enregistré en premier sera supprimé.";Acheter Trouver un article
Acheter Trouver un article En quoi consiste la personnalisation ?;"En quoi consiste la personnalisation ?
La personnalisation de ton profil te permet de sélectionner les contenus que tu souhaites voir sur Vinted. En personnalisant Vinted, tu verras les articles qui te correspondent dès que tu ouvriras Vinted.
Le fil d'actu est Vinted se personnalise selon :
Les catégories du catalogue que tu as sélectionnéesLes tailles que tu as sélectionnéesLes nouveaux articles ajoutés par les membres que tu suisLes marques que tu suis
Tu peux choisir les catégories du catalogue que tu souhaites voir dans ton fil d'actu et sélectionner tes tailles. Par exemple, tu peux choisir de ne voir que les articles de la catégorie femmes en taille 36. Tu ne verras alors que les articles qui correspondent à ces 2 critères.
Tu peux aussi suivre des marques et t'abonner à d'autres membres, afin de voir leurs articles dans ton fil d'actu.
Cliqueici pour modifier tes paramètres de personnalisation, à tout moment.
Bon à savoir :
Les préférences de taille sont établies pour les résultats de recherche et le catalogue Vinted.Tu peux masquer des marques si tu ne souhaites pas les voir apparaître. Toutefois, si tu effectues une recherche sur une marque masquée, tu pourras encore voir tous les articles de cette marque qui ont été ajoutés.
p.p1 {    margin: 0.0px 0.0px 0.0px 0.0px;    font: 12.0px 'Helvetica Neue';    color: #454545}";Acheter Trouver un article
Acheter Acheter un article Conseils pour tes achats;"Conseils pour tes achats
Vérifie bien les évaluations d'un membre avant de procéder à un achat - si celui-ci a beaucoupd’évaluations positives, tout devrait bien se passer !N’hésite pas àposer un maximum de questions sur l’article qui t’intéresse. Tu peux également demander plus de photos si tu le souhaites ! Nos membres sont toujours prêts à te donner le plus d’informations possibles afin de t’aider lors de ton achat.Assure-toi queton adresse de livraison est correcte et à jour sur ton compte Vinted . C’est à cette adresse que le vendeur expédiera ton colis.Le délai de réponse moyen et la dernière date de connexion d’un membre te renseignent sur sa réactivité. Ces informations sont visibles sur le profil du vendeur.Nous déconseillons de procéder à un paiement en dehors de notre système d’envois et de paiements sécurisés. Pour payer sur Vinted, il suffit de cliquer sur  le boutonAcheter - tu bénéficieras alors de la Protection Vinted et tu seras éligible à un remboursement de notre part en cas de problème.  Nous n’effectuons pas de remboursements sur les transactions réalisées en dehors de Vinted.";Acheter Acheter un article
Acheter Acheter un article Mettre un article dans mes favoris;"Mettre un article dans mes favoris
Quand tu tombes sur l'article de tes rêves mais que tu n'es pas tout à fait prêt à cliquer surAcheter, tu peux le mettre dans tes favoris pour le retrouver plus tard !
Pour mettre enfavori un article, il te suffit de cliquer sur l’icône en forme de cœur directement sous la photo de l’article qui t’intéresse depuis le fil d'actualité. Tu peux également te rendre sur la page de l’article en question puis cliquer sur le boutonAjouter aux favoris situé à droite (sur ordinateur) ou en bas à gauche (sur appli).
 
Pour retrouver tes articles favoris, clique surl'icône cœur en haut à gauche de ton avatar.
Pour retirer un article de tes favoris, il te suffit de cliquer sur l'icône cœur de l'article qui ne t'intéresse plus : il aura disparu de tes favoris la prochaine fois que tu retourneras sur cette page.
Que se passe-t-il si quelqu'un ajoute l'un de tes articles à ses favoris ? Si un autre membre mets ton article dans ses favoris, tu recevras une notification. En cliquant sur la notification, tu pourras entrer en contact avec le membre qui a aimé ton article. Tu peux le contacter et lui donner plus de précisions sur l'article ou lui proposer un rabais en lui suggérant d'utiliser le boutonFaire une offre. Tu n'es pas obligé de rentrer en contact avec ce membre; tu peux également attendre qu'il te contacte !";Acheter Acheter un article
Acheter Acheter un article Trouver un article;"Trouver un article
Voici quelques astuces pour trouver l’article de tes rêves sur Vinted :
Parcours les articles récemment mis en ligne sur leFil d’actu en haut à gauche sur le site ou sur l'appliTu peuxpersonnaliser ton fil d’actualité pour n’y voir que les articles de ton choix.Le catalogue comportetous les articles mis en ligne sur Vinted - affine ta recherche afin d’y trouver l’article que tu souhaites :Via le fil d’actu, clique sur la barre de recherche et choisis un type d’article (par exemple : pantalons).Affine ta recherche par filtres (couleur, marque, taille, etc. de l’article).Tu peux également rechercher un article en tapant directement dans la barre de recherche ce que tu veux trouver. Par exemple : Pantalon noir H&M 38.Tes dernières recherches et les filtres sont automatiquement sauvegardés. Cela signifie que tu peux revenir effectuer la même recherche à tout moment et accéder ainsi à ton historique sans devoir paramétrer les filtres de nouveau.Enfin, tu peux aussi trier le résultat de tes recherches en cliquant surTrier. Ainsi, tu pourras choisir de trier par prix croissant, décroissant, date de mise en ligne ou cohérence avec l'article recherché.Reçois régulièrement nosnewsletters ! Vérifie si tu es bien abonné depuis tes paramètres.Suis d’autres membres ainsi que tes marques préférées - tu recevras une notification lors de la mise en ligne d’un article et les marques que tu suis s’afficheront sur ton fil d’actualités.Rends-toi sur les profils des membres que tu suis et fouille dans leur dressing !
Bon à savoir :
Dès que tu flashes sur un article, clique sur le bouton en forme de cœur pour l’ajouter à tes articles favoris. Tu pourras ainsi le retrouver facilement, en cliquant surProfil > Favoris. Depuis le site web, clique sur l’icône en forme de cœur à côté de ta photo de profil pour accéder à la page de tes favoris.En te rendant dans la sectionPersonnalisation, le fil d’actu et le catalogue ne te montreront quedes articles dans les tailles que tu as choisies .Si tu as masqué une marque, elle n’apparaît plus sur le fil d’actu ni dans le dressing des membres.";Acheter Acheter un article
